PC1	PC2	PC3	cols
FermTypII_DM1730_01_A	-3.84251650514678  	3.13635510110686   	-0.0341677478274855	FF0000             
FermTypII_DM1730_01_B	-5.72628596968727  	1.79327295821823   	-1.01898276325671  	FF0000             
FermTypII_DM1730_02_A	-2.91173248899473  	1.72621553984067   	0.526229664136817  	00FF00             
FermTypII_DM1730_02_B	-1.48167135806814  	0.151036195004642  	2.49223805959013   	00FF00             
FermTypII_DM1730_03_A	-5.4932691528608   	1.70505937435958   	-1.42061295491013  	0000FF             
FermTypII_DM1730_03_B	-5.87707697129017  	3.03692193647455   	-2.66667385645266  	0000FF             
FermTypII_DM1730_04_A	-0.239018933331306 	-7.19140997394101  	-1.13489280660700  	666666             
FermTypII_DM1730_04_B	-1.91199357383320  	-3.99444343184473  	-1.47117105928115  	666666             
FermTypII_DM1730_05_A	-1.33432772921293  	-1.21340634327860  	-2.58129575162437  	BBBBBB             
FermTypII_DM1730_05_B	-1.94873222317007  	-1.28835861154941  	-3.58730709303876  	BBBBBB             
FermTypII_DM1730_06_A	5.66904050250483   	0.742991004101765  	-7.42174895092969  	FF00FF             
FermTypII_DM1730_06_B	5.86496478850988   	1.59297142181656   	-3.53460167756083  	FF00FF             
FermTypII_WT_01_A	0.98396690686708   	2.50682303415017   	2.89768130137137   	FFFF00             
FermTypII_WT_01_B	0.757017350694147  	1.31969688555378   	3.38335564441046   	FFFF00             
FermTypII_WT_02_A	-1.14380419976518  	-0.336013485419546 	3.29146988746841   	00FFFF             
FermTypII_WT_02_B	-0.807886047803338 	-0.949669082435597 	3.84982075239557   	00FFFF             
FermTypII_WT_03_A	-0.589551980362854 	4.76332287937608   	1.95724468705244   	880000             
FermTypII_WT_03_B	0.986293140170216  	4.75920309893358   	1.39018919018916   	880000             
FermTypII_WT_04_A	-0.280898208522057 	-6.59113029026557  	-0.221678904852826 	008800             
FermTypII_WT_04_B	-2.10511218316387  	-3.74432479709412  	-1.33737424865155  	008800             
FermTypII_WT_05_A	3.69033037975297   	-4.19560659071949  	3.77606289164683   	000088             
FermTypII_WT_05_B	3.59982596452314   	-3.30830350290395  	3.40607330323413   	000088             
FermTypII_WT_06_A	8.18355928627884   	2.54268900566954   	0.205165132294089  	880088             
FermTypII_WT_06_B	5.95887920591159   	3.03610767484601   	-0.745022698796239 	880088             
