PC1	PC2	PC3
1	-2.9e-00	3.5e-01	-5.5e-02
2	-2.8e+00	-6.2e-01	-1.8e+00
3	4.3e-05	-2.3e+00	1.7e+00
4	-3.8e-01	-1.1e+00	-1.6e+00
5	-3.4e+00	2.0e+00	3.7e+00
6	1.2e-01	-1.1e+00	-1.5e+00
7	-2.3e+00	-1.7e+00	1.9e+00
8	-1.4e-01	-9.7e-01	8.7e-01
9	-2.7e-02	-1.6e+00	-3.1e+00
10	-1.9e-01	-1.9e+00	6.0e-02
11	8.1e-01	-1.2e+00	8.2e-01
12	-1.8e+00	-1.2e+00	-9.9e-01
13	-2.8e+00	-4.4e-01	5.2e-01
14	2.0e-01	-3.3e+00	-1.3e+00
15	-9.2e-01	5.6e-01	4.5e-01
16	-1.6e+00	-2.5e+00	-1.7e+00
17	-2.4e+00	1.8e-01	5.1e-01
18	-1.7e+00	-6.4e-01	-9.1e-01
19	-7.8e-01	-9.8e-01	-9.7e-01
20	-5.6e-01	-1.0e+00	2.6e+00
21	4.6e+00	-2.5e+00	-1.2e+00
22	3.2e+00	4.1e+00	2.7e+00
23	-3.0e+00	7.5e+00	2.8e+00
24	1.0e+01	-1.4e+00	1.4e+00
25	4.3e+00	1.0e+00	5.4e+00
26	4.0e+00	5.4e+00	-5.2e+00
27	4.9e-01	5.2e+00	-5.1e+00
