PC1	PC2	PC3
Alabama	-0.975660	1.122001	-0.439804
Alaska	-1.930538	1.062427	2.019500
Arizona	-1.745443	-0.738460	0.054230
Arkansas	0.139999	1.108542	0.113422
California	-2.498613	-1.527427	0.592541
Colorado	-1.499341	-0.977630	1.084002
Connecticut	1.344992	-1.077984	-0.636793
Delaware	-0.047230	-0.322089	-0.711410
Florida	-2.982760	0.038834	-0.571032
Georgia	-1.622807	1.266088	-0.339018
Hawaii	0.903484	-1.554676	0.050272
Idaho	1.623319	0.208853	0.257190
Illinois	-1.365052	-0.674988	-0.670686
Indiana	0.500381	-0.150039	0.225763
Iowa	2.230996	-0.103008	0.162910
Kansas	0.788872	-0.267449	0.025296
Kentucky	0.743313	0.948807	-0.028084
Louisiana	-1.549091	0.862300	-0.775606
Maine	2.372740	0.372609	-0.065022
Maryland	-1.745647	0.423357	-0.155670
Massachusetts	0.481280	-1.459677	-0.603372
Michigan	-2.087250	-0.153835	0.381000
Minnesota	1.675670	-0.625907	0.151532
Mississippi	-0.986479	2.369737	-0.733363
Missouri	-0.689784	-0.260708	0.373650
Montana	1.173538	0.531479	0.244408
Nebraska	1.252916	-0.192004	0.173809
Nevada	-2.845505	-0.767805	1.151688
NewHampshire	2.359956	-0.017901	0.036485
NewJersey	-0.179741	-1.434937	-0.756770
NewMexico	-1.960124	0.141413	0.181846
NewYork	-1.665667	-0.814911	-0.636612
NorthCarolina	-1.112088	2.205611	-0.854892
NorthDakota	2.962152	0.593097	0.298249
Ohio	0.223694	-0.734778	-0.030826
Oklahoma	0.308649	-0.284961	-0.015156
Oregon	-0.058528	-0.535970	0.930387
Pennsylvania	0.879487	-0.565361	-0.396602
RhodeIsland	0.855091	-1.476983	-1.356177
SouthCarolina	-1.307450	1.913973	-0.297517
SouthDakota	1.967797	0.815068	0.385381
Tennessee	-0.989694	0.851605	0.186193
Texas	-1.341518	-0.408335	-0.487123
Utah	0.545032	-1.456715	0.290776
Vermont	2.773256	1.388194	0.832808
Virginia	0.095367	0.197728	0.011595
Washington	0.214723	-0.960374	0.618591
WestVirginia	2.087393	1.410526	0.103722
Wisconsin	2.058812	-0.605125	-0.137469
Wyoming	0.623101	0.317787	-0.238240
